번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
17,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,2367
18,058820,CMG제약,032102,의약품 제조업,"138,892,244","69,446,122,000","500",원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),2367
19,023460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",2367
20,065770,CS,032604,통신 및 방송 장비 제조업,"18,835,150","9,417,575,000","500",원(KRW),031-622-3200,경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1),2367
21,083660,CSA 코스믹,032004,기타 화학제품 제조업,"37,072,045","18,536,022,500","500",원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,2367
22,000590,CS홀딩스,116409,기타 금융업,"1,154,482","5,772,410,000","5,000",원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),2367
23,012030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500","500",원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,2367
24,322780,DB금융스팩7호,116601,금융 지원 서비스업,"4,550,000","455,000,000","100",원(KRW),02-369-3974,서울특별시 영등포구 국제금융로8길 32 DB금융투자 ,2367
25,016610,DB금융투자,116601,금융 지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,2367
26,005830,DB손해보험,116501,보험업,"70,800,000","35,400,000,000","500",원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 ,2367
27,000990,DB하이텍,032601,반도체 제조업,"44,398,588","222,554,520,000","5,000",원(KRW),02-3484-2888,경기도 부천시 수도로 90 (주)DB하이텍,2367
28,139130,DGB금융지주,116409,기타 금융업,"169,145,833","845,729,165,000","5,000",원(KRW),0537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,2367
29,068790,DMS,032902,특수 목적용 기계 제조업,"23,062,487","11,531,243,500","500",원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),2367
30,004840,DRB동일,116409,기타 금융업,"19,930,000","9,965,000,000","500",원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 ,2367
31,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"18,219,383","9,109,691,500","500",원(KRW),02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층,2367
32,155660,DSR,032402,1차 비철금속 제조업,"16,000,000","8,000,000,000","500",원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 ,2367
33,069730,DSR제강,032401,1차 철강 제조업,"14,400,000","7,200,000,000","500",원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 ,2367
34,017940,E1,074607,기타 전문 도매업,"6,860,000","34,300,000,000","5,000",원(KRW),02-3441-4114,서울특별시 용산구 한강대로 92 LS용산타워,2367
35,245620,EDGC,137001,자연과학 및 공학 연구개발업,"39,128,017","3,912,801,700","100",원(KRW),0327132140,"인천광역시 연수구 하모니로 291, 4층 &nbsp",2367
36,037370,EG,074607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 ,2367
37,079190,EMW,032604,통신 및 방송 장비 제조업,"31,784,197","15,892,098,500","500",원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",2367
38,007700,F&F,031401,봉제의복 제조업,"15,400,000","7,700,000,000","500",원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) ",2367
39,130500,GH신소재,031309,기타 섬유제품 제조업,"11,000,000","5,500,000,000","500",원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54 ,2367
40,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"61,855,670","30,927,835,000","500",원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동,2367
41,900290,GRT,116409,기타 금융업,"67,375,000","770,089,223","0",중국위안(CNY),85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong ",2367
42,078930,GS,116409,기타 금융업,"92,915,378","473,501,020,000","5,000",원(KRW),-,서울특별시 강남구 논현로 508 ,2367
43,083450,GST,032902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500","500",원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 ,2367
44,006360,GS건설,064101,건물 건설업,"80,097,804","400,489,020,000","5,000",원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울,2367
45,001250,GS글로벌,074608,상품 종합 도매업,"82,533,764","206,334,410,000","2,500",원(KRW),02-2005-5300,서울특별시 강남구 논현로 508 GS강남타워 ,2367
46,007070,GS리테일,074701,종합 소매업,"77,000,000","77,000,000,000","1,000",원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) ,2367
47,028150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),2367
48,045890,GV,032804,전구 및 조명장치 제조업,"48,350,590","24,175,295,000","500",원(KRW),032-670-3000,경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주),2367
49,078150,HB테크놀러지,032902,특수 목적용 기계 제조업,"78,990,426","39,495,213,000","500",원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 ,2367
50,012630,HDC,116409,기타 금융업,"59,741,721","298,708,605,000","5,000",원(KRW),02-2008-9114,서울특별시 강남구 영동대로 520 아이파크타워,2367
51,039570,HDC아이콘트롤스,064203,전기 및 통신 공사업,"16,460,000","8,230,000,000","500",원(KRW),031-785-1711,경기도 성남시 분당구 정자일로213번길 5 ,2367
52,089470,HDC현대EP,032004,기타 화학제품 제조업,"31,900,000","17,200,000,000","500",원(KRW),041-350-0500,충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사,2367
53,294870,HDC현대산업개발,064101,건물 건설업,"65,907,330","329,536,650,000","5,000",원(KRW),02-2008-9114,서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 ,2367
54,011200,HMM,085001,해상 운송업,"326,726,323","1,633,631,615,000","5,000",원(KRW),02-3706-5114,서울특별시 종로구  율곡로 194 ,2367
55,036640,HRS,032002,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000","500",원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 ,2367
56,082740,HSD엔진,032901,일반 목적용 기계 제조업,"32,947,142","32,947,142,000","1,000",원(KRW),055-260-6000,경상남도 창원시 성산구 공단로 67 (신촌동),2367
57,299170,IBKS제10호스팩,116601,금융 지원 서비스업,"4,330,000","433,000,000","100",원(KRW),02-6915-5350,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층 ,2367
58,335890,IBKS제11호스팩,116601,금융 지원 서비스업,"4,790,000","479,000,000","100",원(KRW),02-6915-5338,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩,2367
59,335870,IBKS제12호스팩,116601,금융 지원 서비스업,"3,120,000","312,000,000","100",원(KRW),02-6915-5573,서울특별시 영등포구 국제금융로6길 11 &nbsp,2367
60,351340,IBKS제13호스팩,116601,금융 지원 서비스업,"5,170,000","517,000,000","100",원(KRW),02-6915-5361,"서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) ",2367
61,351320,IBKS제14호스팩,116409,기타 금융업,"4,330,000","433,000,000","100",원(KRW),02-6915-5797,서울특별시 영등포구 국제금융로6길 11 ,2367
62,095340,ISC,032602,전자부품 제조업,"14,142,508","7,071,254,000","500",원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)",2367
63,099520,ITX엠투엠,032605,영상 및 음향기기 제조업,"29,187,677","14,593,838,500","500",원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,2367
64,175330,JB금융지주,116409,기타 금융업,"196,982,894","984,914,470,000","5,000",원(KRW),02-2128-2727,전라북도 전주시 덕진구  백제대로 566 ,2367
65,950170,JTC,074701,종합 소매업,"35,005,517","0","0",일본엔(JPY),+81-92-260-8364,"6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan ",2367
66,234080,JW생명과학,032102,의약품 제조업,"15,834,554","39,586,385,000","2,500",원(KRW),041-351-7600,충청남도 당진시 송악읍 한진1길 28 ,2367
67,067290,JW신약,032102,의약품 제조업,"41,667,166","20,833,583,000","500",원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477 ,2367
68,001060,JW중외제약,032102,의약품 제조업,"20,920,054","52,956,972,500","2,500",원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,2367
69,096760,JW홀딩스,116409,기타 금융업,"66,452,155","33,226,077,500","500",원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,2367
70,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,"35,494,992","17,942,201,500","500",원(KRW),02-2225-8100,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) ",2367
71,024840,KBI메탈,032402,1차 비철금속 제조업,"32,950,848","16,475,424,000","500",원(KRW),053 -615 -1161,대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장,2367
72,105560,KB금융,116409,기타 금융업,"415,807,920","2,090,557,685,000","5,000",원(KRW),02-2073-7114,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",2367
73,024120,KB오토시스,033003,자동차 신품 부품 제조업,"11,500,000","5,750,000,000","500",원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24 ,2367
74,021320,KCC건설,064101,건물 건설업,"21,400,000","107,000,000,000","5,000",원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설 ,2367
75,036670,KCI,032004,기타 화학제품 제조업,"11,270,000","5,635,000,000","500",원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7 ,2367
76,009440,KC그린홀딩스,116409,기타 금융업,"22,434,980","11,217,490,000","500",원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,2367
77,112190,KC산업,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","7,125,253","3,562,626,500","500",원(KRW),031-883-8684,경기도 여주시 가남읍 가남로 465 ,2367
78,119650,KC코트렐,032901,일반 목적용 기계 제조업,"13,000,000","6,500,000,000","500",원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,2367
79,044180,KD,064101,건물 건설업,"78,353,304","39,176,652,000","500",원(KRW),070-5138-4366,경기도 안산시 단원구 광덕서로 102 406-3호,2367
80,092220,KEC,032601,반도체 제조업,"116,706,940","58,353,470,000","500",원(KRW),02-2025-5000,서울특별시 서초구  마방로10길 5 ,2367
81,151860,KG ETS,053802,폐기물 처리업,"36,000,000","20,051,860,000","500",원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주),2367
82,016380,KG동부제철,032401,1차 철강 제조업,"100,008,897","500,311,410,000","5,000",원(KRW),02-3450-8027,서울특별시 중구 한강대로 416 서울스퀘어 7층,2367
83,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,"38,825,568","19,412,784,000","500",원(KRW),(02)2192-2000,서울특별시 중구 통일로 92 케이지타워 16층,2367
84,035600,KG이니시스,105802,소프트웨어 개발 및 공급업,"27,904,434","13,952,217,000","500",원(KRW),(02)3430-5913,"서울특별시 중구 통일로 92 케이지타워 14,15층",2367
85,001390,KG케미칼,032001,기초 화학물질 제조업,"13,013,232","67,374,405,000","5,000",원(KRW),052-231-1842,울산광역시 울주군 온산읍 당월로 322 ,2367
86,060720,KH바텍,032602,전자부품 제조업,"23,637,484","11,818,742,000","500",원(KRW),054-465-0630,경상북도 구미시  1공단로10길 53-12 (주)KH바텍 ,2367
87,001940,KISCO홀딩스,032401,1차 철강 제조업,"18,476,380","18,476,380,000","1,000",원(KRW),055-260-0500,경상남도 창원시 성산구  공단로103번길 12 한국철강(주) ,2367
88,122450,KMH,106002,텔레비전 방송업,"22,667,982","11,434,247,500","500",원(KRW),02-2647-1255,서울특별시 양천구  목동서로 201 KT정보전산센터 7층,2367
89,052900,KMH하이텍,032202,플라스틱제품 제조업,"46,885,499","23,442,749,500","500",원(KRW),(041)539-6114,충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 ,2367
90,058400,KNN,106002,텔레비전 방송업,"132,429,720","66,214,860,000","500",원(KRW),051-850-9214,부산광역시 해운대구  센텀서로 30 케이엔엔타워 ,2367
91,114450,KPX생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000","500",원(KRW),061-688-4600,전라남도 여수시 여수산단2로 84 ,2367
92,025000,KPX케미칼,032001,기초 화학물질 제조업,"4,840,000","24,200,000,000","5,000",원(KRW),02-2014-4000,서울특별시 마포구  마포대로 137  KPX빌딩,2367
93,092230,KPX홀딩스,032001,기초 화학물질 제조업,"4,224,646","21,123,230,000","5,000",원(KRW),02-2014-4150,서울특별시 마포구  마포대로 137 KPX빌딩 19층,2367
94,000040,KR모터스,033109,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000","500",원(KRW),055-282-7011,경상남도 창원시 성산구 완암로 28 　,2367
95,044450,KSS해운,085001,해상 운송업,"23,185,880","11,592,940,000","500",원(KRW),3702-2700,서울특별시 종로구 인사동길 12 대일빌딩 8층 ,2367
96,030210,KTB투자증권,116601,금융 지원 서비스업,"60,314,092","301,570,460,000","5,000",원(KRW),02-2184-2000,서울특별시 영등포구  여의대로 66 KTB빌딩,2367
97,036030,KTH,074601,상품 중개업,"35,715,022","35,715,022,000","1,000",원(KRW),02-1588-5668,서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 ,2367
98,058850,KTcs,106309,기타 정보 서비스업,"42,685,000","23,842,500,000","500",원(KRW),042-604-5138,대전광역시 서구 갈마로 160 ,2367
99,058860,KTis,106309,기타 정보 서비스업,"34,802,000","17,401,000,000","500",원(KRW),02-3215-2054,서울특별시 영등포구 여의대로 14 케이티빌딩 10층,2367
100,060370,KT서브마린,064203,전기 및 통신 공사업,"21,900,000","21,900,000,000","1,000",원(KRW),(051)704-0004,부산광역시 해운대구 송정광어골로 42  ,2367
101,093050,LF,031401,봉제의복 제조업,"29,240,000","146,200,000,000","5,000",원(KRW),02-3441-8114,서울특별시 강남구 언주로 870 (신사동) ,2367
102,003550,LG,116409,기타 금융업,"172,557,131","879,359,040,000","5,000",원(KRW),02-3773-5114,서울특별시 영등포구  여의대로 128 ,2367
103,034220,LG디스플레이,032602,전자부품 제조업,"357,815,700","1,789,078,500,000","5,000",원(KRW),02-3777-1010,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) ,2367
104,001120,LG상사,074601,상품 중개업,"38,760,000","193,800,000,000","5,000",원(KRW),02-3773-1114,서울특별시 종로구 새문안로 58 LG광화문빌딩 ,2367
105,051900,LG생활건강,032004,기타 화학제품 제조업,"15,618,197","88,589,470,000","5,000",원(KRW),02-3773-5114,서울특별시 종로구  새문안로 58 ,2367
106,032640,LG유플러스,106102,전기 통신업,"436,611,361","2,573,969,175,000","5,000",원(KRW),02-3773-1114,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,2367
107,011070,LG이노텍,032602,전자부품 제조업,"23,667,107","118,335,535,000","5,000",원(KRW),02-3777-1114,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 ,2367
108,066570,LG전자,032604,통신 및 방송 장비 제조업,"163,647,814","904,169,030,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 LG트윈타워,2367
109,108670,LG하우시스,032202,플라스틱제품 제조업,"8,967,670","50,000,000,000","5,000",원(KRW),3777-1114,서울특별시 중구 후암로 98 LG서울역빌딩 ,2367
110,037560,LG헬로비전,106002,텔레비전 방송업,"77,446,865","193,617,162,500","2,500",원(KRW),02-1855-1000,"서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워) ",2367
111,051910,LG화학,032001,기초 화학물질 제조업,"70,592,343","391,405,715,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 ,2367
112,079550,LIG넥스원,032502,무기 및 총포탄 제조업,"22,000,000","110,000,000,000","5,000",원(KRW),1644 - 2005,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주) ,2367
113,006260,LS,116409,기타 금융업,"32,200,000","161,000,000,000","5,000",원(KRW),02-2189-9988,서울특별시 용산구 한강대로 92 LS용산타워 - ,2367
114,000680,LS네트웍스,074608,상품 종합 도매업,"78,803,016","394,015,080,000","5,000",원(KRW),02-799-7114,"경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)",2367
115,229640,LS전선아시아,116409,기타 금융업,"30,624,879","15,312,439,500","500",원(KRW),031-428-0288,"경기도 안양시 동안구 엘에스로 127(호계동, LS타워) 3층 ",2367
116,023150,MH에탄올,031101,알코올음료 제조업,"7,378,526","4,596,763,000","500",원(KRW),055-231-0701,경상남도 창원시 마산회원구 내서읍 광려천남로 25 ,2367
117,065150,MP그룹,074603,음·식료품 및 담배 도매업,"80,808,407","8,080,840,700","100",원(KRW),02-596-3300,서울특별시 서초구  효령로 132 미피하우스,2367
118,219550,MP한강,074604,생활용품 도매업,"57,370,063","5,737,006,300","100",원(KRW),02-3773-8373,서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호,2367
119,035420,NAVER,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","164,263,395","16,481,339,500","100",원(KRW),1588-3830,경기도 성남시 분당구  불정로 6 ,2367
120,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","27,906,106","13,953,053,000","500",원(KRW),02-3490-9300,서울특별시 강남구 학동로9길 5 - ,2367
121,053290,NE능률,105801,"서적, 잡지 및 기타 인쇄물 출판업","16,072,037","8,036,018,500","500",원(KRW),02-2014-7114,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 ,2367
122,104200,NHN벅스,105802,소프트웨어 개발 및 공급업,"14,827,550","7,413,775,000","500",원(KRW),031-8038-4186,경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄,2367
123,060250,NHN한국사이버결제,106309,기타 정보 서비스업,"22,971,393","11,485,696,500","500",원(KRW),(02)2108-1000,서울특별시 구로구 디지털로26길 72 - ,2367
124,005940,NH투자증권,116601,금융 지원 서비스업,"281,408,887","1,531,275,030,000","5,000",원(KRW),02-768-7000,서울특별시 영등포구 여의대로 60 우리투자증권빌딩,2367
125,338100,NH프라임리츠,126801,부동산 임대 및 공급업,"18,660,000","9,330,000,000","500",원(KRW),02-6264-2836,"서울특별시 영등포구 국제금융로8길 2(여의도동, 농협재단빌딩 13층) ",2367
126,034310,NICE,137105,회사 본부 및 경영 컨설팅 서비스업,"37,882,300","18,941,150,000","500",원(KRW),02-2122-4000,서울특별시 영등포구 은행로 17 (여의도동) NICE 그룹 1사옥,2367
127,030190,NICE평가정보,106309,기타 정보 서비스업,"60,714,820","30,357,410,000","500",원(KRW),02-2122-4000,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 ,2367
128,008260,NI스틸,032401,1차 철강 제조업,"28,600,117","14,300,058,500","500",원(KRW),02-758-6789,서울특별시 동작구 동작대로 35 - ,2367
129,010060,OCI,032001,기초 화학물질 제조업,"23,849,371","127,246,855,000","5,000",원(KRW),02-727-9500,서울특별시 중구  소공로 94 OCI 빌딩,2367
130,078590,OQP,033003,자동차 신품 부품 제조업,"75,280,333","15,056,066,600","200",원(KRW),02-6925-2168,경남 밀양시 산내면 가인리 364번지 ,2367
131,178920,PI첨단소재,032202,플라스틱제품 제조업,"29,366,322","14,683,161,000","500",원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27 ,2367
132,024940,PN풍년,032509,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000","500",원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620 ,2367
133,218410,RFHIC,032604,통신 및 방송 장비 제조업,"23,847,620","11,923,810,000","500",원(KRW),031-8069-3016,경기도 안양시 동안구 부림로 170 41-14(관양동),2367
134,091340,S&K폴리텍,032602,전자부품 제조업,"11,703,721","5,851,860,500","500",원(KRW),031-432-8061,경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지,2367
135,100840,S&TC,032901,일반 목적용 기계 제조업,"7,506,711","3,753,355,500","500",원(KRW),055-212-6500,경상남도 창원시 성산구  완암로 12 ,2367
136,064960,S&T모티브,033003,자동차 신품 부품 제조업,"14,623,136","73,115,680,000","5,000",원(KRW),051-509-2114,부산광역시 기장군  철마면 여락송정로 363 ,2367
137,003570,S&T중공업,033003,자동차 신품 부품 제조업,"33,252,697","85,631,742,500","2,500",원(KRW),055-280-5000,경상남도 창원시 성산구  남면로 599 ,2367
138,036530,S&T홀딩스,116409,기타 금융업,"16,303,886","8,351,943,000","500",원(KRW),02-3279-5010,서울특별시 금천구  가산디지털1로 134 ,2367
139,010950,S-Oil,031902,석유 정제품 제조업,"112,582,792","291,511,797,500","2,500",원(KRW),02-3772-5151,서울특별시 마포구  백범로 192 ,2367
140,019550,SBI인베스트먼트,116402,신탁업 및 집합투자업,"162,066,575","83,533,287,500","500",원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층 ,2367
141,950110,SBI핀테크솔루션즈,105802,소프트웨어 개발 및 공급업,"24,048,040","0","0",일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 ",2367
142,034120,SBS,106002,텔레비전 방송업,"18,252,582","91,262,910,000","5,000",원(KRW),02-2061-0006,서울특별시 양천구  목동서로 161 ,2367
143,101060,SBS미디어홀딩스,106002,텔레비전 방송업,"139,896,190","69,948,095,000","500",원(KRW),02-2113-5599,서울특별시 양천구  목동서로 161 ,2367
144,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,463,555","10,731,777,500","500",원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 ",2367
145,036120,SCI평가정보,106309,기타 정보 서비스업,"35,500,000","17,750,000,000","500",원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩 ,2367
146,099220,SDN,074605,기계장비 및 관련 물품 도매업,"48,178,714","24,089,357,000","500",원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  ,2367
147,036540,SFA반도체,032601,반도체 제조업,"164,460,303","82,487,451,500","500",원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) ,2367
148,255220,SG,032309,기타 비금속 광물제품 제조업,"36,720,027","3,672,002,700","100",원(KRW),032-574-6525,"인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp",2367
149,040610,SG&G,033003,자동차 신품 부품 제조업,"34,087,196","17,043,598,000","500",원(KRW),02-2105-6315,경기도 안산시 단원구 원시로 239-10 (원시동),2367
150,049470,SGA,105802,소프트웨어 개발 및 공급업,"48,362,249","48,362,249,000","1,000",원(KRW),070-7308-9319,"서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비지니스파크) ",2367
151,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,"36,676,033","3,667,603,300","100",원(KRW),02-574-6856,"서울특별시 송파구 법원로11길 25 에이동 901호(문정동, 에이치비지니스파크) ",2367
152,224880,SGA임베디드,105802,소프트웨어 개발 및 공급업,"5,418,165","2,709,082,500","500",원(KRW),070-7410-9319,"서울특별시 송파구 법원로11길 25에이동 908호(문정동, 에이치비지니스파크) ",2367
153,004060,SG세계물산,074608,상품 종합 도매업,"202,424,960","101,212,480,000","500",원(KRW),02-850-5191,서울특별시 금천구  디지털로10길 35 ,2367
154,001380,SG충방,033003,자동차 신품 부품 제조업,"44,964,143","22,482,071,500","500",원(KRW),070-5038-5498,충청남도 예산군 예산읍 창말로 75 (주)SG충방,2367
155,002360,SH에너지화학,032001,기초 화학물질 제조업,"111,133,730","55,566,865,000","500",원(KRW),063-469-1500,전라북도 군산시 외항7길 20 ,2367
156,009160,SIMPAC,032902,특수 목적용 기계 제조업,"65,429,516","32,714,758,000","500",원(KRW),032-510-0044,인천광역시 부평구  부평북로 141 (주)SIMPAC,2367
